layer_name,gpkg_count,spatialite_count,difference,match,gpkg_empty_fields,spatialite_empty_fields,gpkg_total_fields,spatialite_total_fields
lndare,1917,1917,0,True,12,9,28,25
ctnare,66,66,0,True,11,9,28,26
connectednode,0,0,0,True,0,0,9,9
depcnt,790,790,0,True,11,9,27,25
cblohd,4,4,0,True,22,19,38,35
slcons,566,566,0,True,27,21,45,39
coalne,1604,1604,0,True,19,16,34,31
lndrgn,192,192,0,True,13,9,30,25
lndelv,63,63,0,True,12,10,30,28
uwtroc,678,678,0,True,14,9,36,29
obstrn,230,230,0,True,19,13,43,34
mipare,11,11,0,True,14,10,33,28
feryrt,6,6,0,True,15,12,32,29
lights,379,379,0,True,17,15,48,42
buisgl,20,20,0,True,18,16,41,34
fshzne,1,1,0,True,12,9,28,25
navlne,7,7,0,True,13,10,31,28
fairwy,14,14,0,True,19,14,36,31
face,0,0,0,True,0,0,9,9
m_npub,8,8,0,True,9,7,24,22
bcnspp,99,99,0,True,16,16,46,39
prcare,1,1,0,True,13,9,28,24
lakare,51,51,0,True,13,11,29,27
pipare,1,1,0,True,16,11,33,27
lndmrk,251,251,0,True,11,11,41,33
tsslpt,23,23,0,True,13,9,30,26
bcnlat,20,20,0,True,20,19,46,40
splare,1,1,0,True,15,11,30,26
wrecks,202,202,0,True,16,14,40,35
boyspp,78,78,0,True,15,14,41,34
isolatednode,0,0,0,True,0,0,9,9
edge,0,0,0,True,0,0,21,21
boysaw,10,10,0,True,16,15,40,34
depare,705,705,0,True,15,12,29,26
soundg,10592,10592,0,True,13,10,33,28
marcul,1,1,0,True,22,17,41,36
tesare,56,56,0,True,9,6,26,23
pipsol,26,26,0,True,19,17,38,33
wattur,1,1,0,True,11,9,27,25
wedklp,183,183,0,True,11,9,27,25
cblsub,116,116,0,True,16,14,35,32
airare,3,3,0,True,15,11,31,27
pilpnt,8,8,0,True,19,16,37,33
ponton,1,1,0,True,22,18,37,33
boylat,28,28,0,True,18,16,41,35
ofsplf,27,27,0,True,21,17,42,34
seaare,300,300,0,True,10,8,27,25
magvar,166,166,0,True,9,7,27,25
m_nsys,8,8,0,True,11,9,26,24
topmar,6,6,0,True,21,17,38,33
exezne,7,7,0,True,7,5,25,23
m_qual,92,92,0,True,12,10,32,29
morfac,13,13,0,True,25,22,45,39
conzne,6,6,0,True,10,7,28,25
rtpbcn,11,11,0,True,20,17,38,35
slogrd,73,73,0,True,16,10,33,27
tssbnd,15,15,0,True,13,10,28,25
buaare,246,246,0,True,16,14,33,31
fogsig,46,46,0,True,17,14,38,35
rdosta,33,33,0,True,19,16,37,33
canals,4,4,0,True,18,15,34,31
bridge,71,71,0,True,23,18,43,37
pilbop,4,4,0,True,15,12,35,32
siltnk,16,16,0,True,15,15,42,35
sbdare,846,846,0,True,10,8,30,25
rivers,247,247,0,True,10,8,27,24
admare,22,22,0,True,9,7,29,27
achare,4,4,0,True,14,11,33,28
damcon,1,1,0,True,24,19,39,34
daymar,24,24,0,True,23,18,41,34
tsezne,3,3,0,True,12,9,28,25
dmpgrd,29,29,0,True,9,6,29,24
cblare,4,4,0,True,13,10,31,27
resare,23,23,0,True,10,8,33,28
cgusta,1,1,0,True,16,13,31,28
m_covr,13,13,0,True,8,6,21,19
slotop,27,27,0,True,20,14,36,30
ctsare,4,4,0,True,14,11,31,28
hrbfac,1,1,0,True,18,14,34,29
rectrc,5,5,0,True,20,15,40,35
unsare,5,5,0,True,10,8,24,22
rdocal,5,5,0,True,15,12,34,31
curent,77,77,0,True,11,9,30,28
